City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Caravelas,BR,76.93,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
279,Narasannapeta,IN,78.85,overcast clouds,18.4167,84.05,G.lingaraju home
280,Carballo,ES,84.07,few clouds,43.213,-8.691,Pazo do Souto
283,Le Vauclin,MQ,87.93,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
286,La Primavera,CO,82.92,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
288,Guerrero Negro,MX,84.65,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
292,Cabo San Lucas,MX,86.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
294,Kutum,SD,78.04,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
298,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
304,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
307,Carutapera,BR,81.28,scattered clouds,-1.195,-46.02,Lidera
311,Ternate,ID,79.7,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
312,Gat,IL,86.77,clear sky,31.61,34.7642,OlusHome
320,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
324,Susanville,US,86.09,haze,40.4163,-120.653,Comfort Inn & Suites
326,Savelugu,GH,83.66,light rain,9.6244,-0.8253,Yoo Naa's Palace
328,Acarau,BR,85.98,scattered clouds,-2.8856,-40.12,castelo pizzaria
329,Pochutla,MX,86.85,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
333,Port-Gentil,GA,77.83,scattered clouds,-0.7193,8.7815,Fengshui Residence
340,Anloga,GH,78.06,scattered clouds,5.7947,0.8973,Pin Drop Hotel
341,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
342,Shaoguan,CN,80.1,overcast clouds,24.8,113.5833,Shangcheng Hotel
343,Muros,ES,85.15,few clouds,42.7762,-9.0603,Apartment Av. Castelao
344,Longyan,CN,75.92,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
345,Coahuayana,MX,87.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
347,Douentza,ML,86.81,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
